Name,Include
AF3,YES
AF4,YES
AF7,NO
AF8,NO
AFz,YES
C1,YES
C2,YES
C3,YES
C4,YES
C5,YES
C6,YES
CP1,YES
CP2,YES
CP3,YES
CP4,YES
CP5,YES
CP6,YES
CPz,YES
Cz,YES
F1,YES
F2,YES
F3,YES
F4,YES
F5,YES
F6,YES
F7,YES
F8,YES
FC1,YES
FC2,YES
FC3,YES
FC4,YES
FC5,YES
FC6,YES
FCz,YES
Fp1,NO
Fp2,NO
Fpz,NO
FT7,YES
FT8,YES
Fz,YES
Iz,YES
LPA,NO
Nz,NO
O1,YES
O2,YES
Oz,YES
P1,YES
P10,NO
P2,YES
P3,YES
P4,YES
P5,YES
P6,YES
P7,YES
P8,YES
P9,NO
PO3,YES
PO4,YES
PO7,YES
PO8,YES
POz,YES
Pz,YES
RPA,NO
T7,YES
T8,YES
TP7,YES
TP8,YES
