Element,X,Y,Z
1,1.1377,-0.2203,5.1871
2,0.9985,-0.6649,5.1778
3,0.6582,-0.8789,5.2003
4,-0.2203,-1.1377,5.1871
5,-0.6649,-0.9985,5.1778
6,-0.8789,-0.6582,5.2003
7,-1.1377,0.2203,5.1871
8,-0.9985,0.6649,5.1778
9,-0.6582,0.8789,5.2003
10,0.2203,1.1377,5.1871
11,0.6649,0.9985,5.1778
12,0.8789,0.6582,5.2003
13,1.3957,0.1794,5.1253
14,1.5051,-0.3667,5.0842
15,1.1904,-1.0291,5.0767
16,0.8199,-1.3786,5.0671
17,0.1794,-1.3957,5.1253
18,-0.3667,-1.5051,5.0842
19,-1.0291,-1.1904,5.0767
20,-1.3786,-0.8199,5.0671
21,-1.3957,-0.1794,5.1253
22,-1.5051,0.3667,5.0842
23,-1.1904,1.0291,5.0767
24,-0.8199,1.3786,5.0671
25,-0.1794,1.3957,5.1253
26,0.3667,1.5051,5.0842
27,1.0291,1.1904,5.0767
28,1.3786,0.8199,5.0671
29,1.7196,0.4543,5.0085
30,1.8629,-0.0029,4.9778
31,1.9409,-0.5568,4.9165
32,1.8895,-1.0472,4.8561
33,1.5339,-1.2523,4.9323
34,1.1934,-1.4635,4.9682
35,1.0078,-1.8333,4.8859
36,0.4543,-1.7196,5.0085
37,0.3099,-2.0817,4.8805
38,-0.0029,-1.8629,4.9778
39,-0.5568,-1.9409,4.9165
40,-1.0472,-1.8895,4.8561
41,-1.2523,-1.5339,4.9323
42,-1.4635,-1.1934,4.9682
43,-1.8333,-1.0078,4.8859
44,-1.7196,-0.4543,5.0085
45,-1.8629,0.0029,4.9778
46,-1.9409,0.5568,4.9165
47,-1.8895,1.0472,4.8561
48,-1.5339,1.2523,4.9323
49,-1.1934,1.4635,4.9682
50,-1.0078,1.8333,4.8859
51,-0.4543,1.7196,5.0085
52,0.0029,1.8629,4.9778
53,0.5568,1.9409,4.9165
54,1.0472,1.8895,4.8561
55,1.2523,1.5339,4.9323
56,1.4635,1.1934,4.9682
57,1.8333,1.0078,4.8859
58,2.0817,0.3099,4.8805
59,2.2146,-0.1975,4.8276
60,2.362,-0.6453,4.7174
61,2.1924,-1.328,4.656
62,1.7887,-1.5356,4.7635
63,1.5218,-1.8615,4.74
64,1.1872,-2.2111,4.6851
65,0.639,-2.2876,4.7547
66,-0.1975,-2.2146,4.8276
67,-0.6453,-2.362,4.7174
68,-1.328,-2.1924,4.656
69,-1.5356,-1.7887,4.7635
70,-1.8615,-1.5218,4.74
71,-2.2111,-1.1872,4.6851
72,-2.2876,-0.639,4.7547
73,-2.0817,-0.3099,4.8805
74,-2.2146,0.1975,4.8276
75,-2.362,0.6453,4.7174
76,-2.1924,1.328,4.656
77,-1.7887,1.5356,4.7635
78,-1.5218,1.8615,4.74
79,-1.1872,2.2111,4.6851
80,-0.639,2.2876,4.7547
81,-0.3099,2.0817,4.8805
82,0.1975,2.2146,4.8276
83,0.6453,2.362,4.7174
84,1.328,2.1924,4.656
85,1.5356,1.7887,4.7635
86,1.8615,1.5218,4.74
87,2.2111,1.1872,4.6851
88,2.2876,0.639,4.7547
89,2.5441,0.0524,4.6662
90,2.8656,-0.0738,4.4757
91,2.8195,-0.4807,4.4797
92,2.7166,-0.877,4.4833
93,2.5534,-1.3247,4.4693
94,2.1877,-1.8674,4.4694
95,1.576,-2.2534,4.5483
96,1.3224,-2.5495,4.4722
97,0.8033,-2.5956,4.568
98,0.0524,-2.5441,4.6662
99,0.3303,-2.8574,4.4693
100,-0.0738,-2.8656,4.4757
101,-0.4807,-2.8195,4.4797
102,-0.877,-2.7166,4.4833
103,-1.3247,-2.5534,4.4693
104,-1.8674,-2.1877,4.4694
105,-2.2534,-1.576,4.5483
106,-2.5495,-1.3224,4.4722
107,-2.5956,-0.8033,4.568
108,-2.8574,-0.3303,4.4693
109,-2.5441,-0.0524,4.6662
110,-2.8656,0.0738,4.4757
111,-2.8195,0.4807,4.4797
112,-2.7166,0.877,4.4833
113,-2.5534,1.3247,4.4693
114,-2.1877,1.8674,4.4694
115,-1.576,2.2534,4.5483
116,-1.3224,2.5495,4.4722
117,-0.8033,2.5956,4.568
118,-0.3303,2.8574,4.4693
119,-0.0524,2.5441,4.6662
120,0.0738,2.8656,4.4757
121,0.4807,2.8195,4.4797
122,0.877,2.7166,4.4833
123,1.3247,2.5534,4.4693
124,1.8674,2.1877,4.4694
125,2.2534,1.576,4.5483
126,2.5495,1.3224,4.4722
127,2.5956,0.8033,4.568
128,2.8574,0.3303,4.4693
