Nel,X,Y,Z,R,theta,phi
0,9.17515,-1.21377,74.42677,75,7.08843,352.46419
1,5.26375,4.23032,74.69536,75,5.16589,38.78781
2,-1.85063,9.04152,74.43001,75,7.06833,101.56763
3,-7.23702,4.90787,74.48851,75,6.69533,145.85637
4,-7.62342,-2.18735,74.57948,75,6.0702,196.00948
5,-1.95725,-7.10118,74.63741,75,5.63628,254.59055
6,4.76023,-7.706,74.45104,75,6.93652,301.70491
7,13.08164,6.8064,73.536,75,11.3393,27.48805
8,8.01564,10.91706,73.76698,75,10.40372,53.71275
9,2.60681,15.24449,73.38808,75,11.90035,80.29628
10,-4.68014,16.31505,73.0542,75,13.07977,106.00608
11,-11.58872,11.3999,73.2171,75,12.51799,135.47061
12,-14.86089,5.29644,73.32191,75,12.14306,160.38388
13,-14.84342,-1.80009,73.49444,75,11.49967,186.91459
14,-12.53593,-8.90762,73.40644,75,11.83215,215.39635
15,-7.32586,-13.16293,73.47155,75,11.58704,240.90179
16,-0.1424,-13.32441,73.80677,75,10.23401,269.38767
17,7.73756,-14.55463,73.1662,75,12.69615,297.99608
18,12.58558,-9.88368,73.27289,75,12.31982,321.85682
19,15.95832,0.68605,73.27934,75,12.2967,2.46165
20,17.92911,13.47085,71.56873,75,17.3982,36.91898
21,11.75231,16.83122,72.13594,75,15.88511,55.07555
22,3.84088,22.90145,71.31459,75,18.03617,80.47934
23,-4.12984,22.59961,71.39469,75,17.83748,100.35593
24,-10.477,20.46218,71.39,75,17.84918,117.11326
25,-15.92944,16.13195,71.49135,75,17.59482,134.6381
26,-19.80051,10.87503,71.51694,75,17.53002,151.2231
27,-22.7393,2.7198,71.41797,75,17.77932,173.17939
28,-21.80103,-4.30071,71.63253,75,17.23445,191.15951
29,-19.44443,-11.48693,71.51898,75,17.52486,210.57276
30,-13.99896,-16.51187,71.80799,75,16.77612,229.70833
31,-6.84666,-21.74075,71.45252,75,17.69268,252.51959
32,-0.12947,-20.54725,72.13039,75,15.90057,269.63897
33,6.51767,-20.77167,71.77087,75,16.8741,287.42064
34,14.01201,-18.58884,71.29599,75,18.08201,307.00848
35,19.19171,-12.55351,71.4079,75,17.80452,326.81085
36,19.52075,-4.69973,72.26239,75,15.52826,346.46333
37,23.42927,0.81393,71.24189,75,18.2147,1.98966
38,19.70357,6.58249,72.06553,75,16.08046,18.47324
39,17.03237,24.04124,68.97041,75,23.13154,54.68378
40,10.45518,22.99776,70.61722,75,19.68428,65.55264
41,6.07532,28.57415,69.07683,75,22.9237,77.99675
42,-0.82419,29.71787,68.85615,75,23.35273,91.58862
43,-7.65115,28.38821,68.99688,75,23.08,105.08387
44,-14.04628,25.92932,68.95921,75,23.1533,118.44503
45,-21.14059,20.68947,68.9204,75,23.22859,135.61788
46,-25.09007,13.95747,69.28692,75,22.50807,150.91305
47,-28.37858,7.1369,69.05593,75,22.96466,165.8835
48,-29.60455,0.59725,68.90729,75,23.25398,178.84426
49,-28.53804,-6.67439,69.03646,75,23.00274,193.16355
50,-25.79249,-12.68695,69.27329,75,22.53526,206.19191
51,-21.00198,-18.01283,69.70979,75,21.64861,220.6188
52,-17.17656,-23.86754,68.99497,75,23.08371,234.25888
53,-9.83676,-27.7813,68.96693,75,23.13829,250.50205
54,-1.41906,-28.84864,69.21519,75,22.65079,267.1839
55,4.91766,-26.8197,69.86788,75,21.31884,280.39034
56,12.80928,-26.0138,69.16795,75,22.74432,296.21578
57,20.33577,-20.13263,69.32628,75,22.42939,315.28761
58,25.82754,-13.86885,69.03327,75,23.00897,331.76513
59,26.00345,-6.4441,70.05208,75,20.92837,346.08153
60,29.84153,-1.19154,68.79726,75,23.46596,357.71345
61,28.54528,5.22615,69.15818,75,22.76361,10.37497
62,24.0164,11.44174,70.12346,75,20.77518,25.47377
63,21.73907,18.72244,69.29562,75,22.4907,40.73617
