Scanner,Energy,Kernel,Other,Res,Alpha_0,Beta,c
GE,60,ST,DE,"0.49, 0.63",20,1.2,-0.0015
GE,60,B,DE,"0.49, 0.63",22,1.2,-0.0016
GE,80,ST,,"0.49, 0.63",21,1.2,-0.0012
GE,80,ST,Veo,"0.24, 0.63",29,1.2,-0.0014
GE,80,ST,BW,"0.49, 0.63",25,1.2,-0.0014
GE,80,ST,DE,"0.49, 0.63",21,1.2,-0.0022
GE,80,B,,"0.49, 0.63",26,1.3,-0.0012
GE,80,B,BW,"0.49, 0.63",27,1.3,-0.0012
GE,80,B,DE,"0.49, 0.63",21,1.2,-0.0022
GE,100,ST,,"0.49, 0.63",22,1.2,-0.0015
GE,100,ST,BW,"0.49, 0.63",25,1.2,-0.0016
GE,100,ST,DE,"0.49, 0.63",21,1.2,-0.0028
GE,100,B,,"0.49, 0.63",26,1.3,-0.0014
GE,100,B,BW,"0.49, 0.63",28,1.2,-0.0014
GE,100,B,DE,"0.49, 0.63",22,1.2,-0.0028
GE,120,ST,,"0.49, 0.63",24,1.2,-0.0018
GE,120,ST,Veo,"0.24, 0.63",30,1.2,-0.0019
GE,120,ST,BW,"0.49, 0.63",25,1.2,-0.0018
GE,120,ST,DE,"0.49, 0.63",21,1.2,-0.0032
GE,120,B,,"0.49, 0.63",26,1.3,-0.0016
GE,120,B,BW,"0.49, 0.63",27,1.2,-0.0016
GE,120,B,DE,"0.49, 0.63",21,1.2,-0.0032
GE,140,ST,,"0.49, 0.63",22,1.2,-0.0019
GE,140,ST,Veo,"0.24, 0.63",30,1.2,-0.0021
GE,140,ST,BW,"0.49, 0.63",26,1.2,-0.0021
GE,140,ST,DE,"0.49, 0.63",21,1.2,-0.0034
GE,140,B,,"0.49, 0.63",26,1.3,-0.0017
GE,140,B,BW,"0.49, 0.63",26,1.3,-0.0017
GE,140,B,DE,"0.49, 0.63",21,1.2,-0.0034
GE,,B,BMD,"0.49, 0.63",7.10E+02,1.2,-0.0035
GE,,ST,BMD,"0.49, 0.63",4.40E+02,1.2,-0.0032
Siemens,70,ST,,"0.39, 0.5",26,1.2,-0.0017
Siemens,70,B,,"0.39, 0.5",26,1.2,-0.0017
Siemens,70,B,LR,"0.39, 1",25,1.2,-0.0017
Siemens,80,ST,,"0.39, 0.5",24,1.2,-0.0017
Siemens,80,B,,"0.39, 0.5",26,1.3,-0.0017
Siemens,90,ST,,"0.39, 0.5",28,1.3,-0.0018
Siemens,90,B,,"0.39, 0.5",25,1.3,-0.0017
Siemens,90,B,LR,"0.39, 1",11,1.1,-0.0013
Siemens,100,ST,,"0.39, 0.5",10,1.1,-0.00079
Siemens,100,B,,"0.39, 0.5",30,1.3,-0.0012
Siemens,100,B,LR,"0.39, 1",28,1.3,-0.0012
Siemens,110,ST,,"0.39, 0.5",10,1.1,-0.00088
Siemens,110,B,,"0.39, 0.5",30,1.3,-0.0014
Siemens,110,B,LR,"0.39, 1",10,1.1,-0.00099
Siemens,120,ST,,"0.39, 0.5",28,1.3,-0.0014
Siemens,120,ST,Ub36,"0.53, 0.4",17,1.1,-0.0017
Siemens,120,ST,Ub44,"0.53, 0.4",25,1.2,-0.0019
Siemens,120,ST,Ub49,"0.53, 0.4",26,1.2,-0.0018
Siemens,120,ST,Ub59,"0.53, 0.4",20,1.3,-0.0015
Siemens,120,B,,"0.39, 0.5",26,1.3,-0.0014
Siemens,120,B,Ur77,"0.53, 0.4",28,1.3,-0.0019
Siemens,120,B,Ur81,"0.53, 0.4",26,1.2,-0.0019
Siemens,120,B,Ur85,"0.53, 0.4",26,1.2,-0.0019
Siemens,120,B,Ur89,"0.53, 0.4",25,1.2,-0.0019
Siemens,120,B,LR,"0.39, 1",11,1.1,-0.0011
Siemens,130,B,,"0.39, 0.5",28,1.3,-0.0015
Siemens,130,B,LR,"0.39, 1",25,1.3,-0.0015
Siemens,140,ST,,"0.39, 0.5",11,1.1,-0.0012
Siemens,140,ST,Ub36,"0.53, 0.4",24,1.2,-0.0019
Siemens,140,ST,Ub44,"0.53, 0.4",25,1.3,-0.0018
Siemens,140,ST,Ub49,"0.53, 0.4",11,1.1,-0.0014
Siemens,140,ST,Ub59,"0.53, 0.4",11,1.1,-0.0017
Siemens,140,B,,"0.39, 0.5",29,1.3,-0.0017
Siemens,140,B,Ur77,"0.53, 0.4",27,1.3,-0.0019
Siemens,140,B,Ur81,"0.53, 0.4",23,1.3,-0.0022
Siemens,140,B,Ur85,"0.53, 0.4",21,1.3,-0.0021
Siemens,140,B,Ur89,"0.53, 0.4",24,1.3,-0.0018
Siemens,140,B,LR,"0.39, 1",27,1.3,-0.0016
Siemens,150,ST,,"0.39, 0.5",10,1.1,-0.0012
Siemens,150,ST,Tin,"0.39, 0.5",27,1.2,-0.0017
Siemens,150,B,,"0.39, 0.5",17,1.1,-0.0016
Siemens,150,B,Tin,"0.39, 0.5",20,1.3,-0.0014
Siemens,150,B,"Tin,LR","0.39, 1",28,1.3,-0.0017
Siemens,150,B,LR,"0.39, 1",25,1.2,-0.0017
