Scanner,Energy,Kernel,Other,Res,Slope,Intercept
GE,60,ST,DE,"0.5, 0.6",0.78,1.41
GE,60,B,DE,"0.5, 0.6",0.79,1.38
GE,80,ST,,"0.5, 0.6",0.67,1.33
GE,80,ST,Veo,"0.2, 0.6",0.77,1.09
GE,80,ST,BW,"0.5, 0.6",0.71,1.26
GE,80,ST,DE,"0.5, 0.6",1.2,1.37
GE,80,B,,"0.5, 0.6",0.57,1.28
GE,80,B,BW,"0.5, 0.6",0.55,1.28
GE,80,B,DE,"0.5, 0.6",1.2,1.35
GE,100,ST,,"0.5, 0.6",0.82,1.3
GE,100,ST,BW,"0.5, 0.6",0.88,1.21
GE,100,ST,DE,"0.5, 0.6",1.4,1.36
GE,100,B,,"0.5, 0.6",0.65,1.33
GE,100,B,BW,"0.5, 0.6",0.7,1.2
GE,100,B,DE,"0.5, 0.6",1.5,1.34
GE,120,ST,,"0.5, 0.6",0.98,1.24
GE,120,ST,Veo,"0.2, 0.6",1.1,1.08
GE,120,ST,BW,"0.5, 0.6",1,1.22
GE,120,ST,DE,"0.5, 0.6",1.7,1.34
GE,120,B,,"0.5, 0.6",0.75,1.32
GE,120,B,BW,"0.5, 0.6",0.79,1.22
GE,120,B,DE,"0.5, 0.6",1.7,1.33
GE,140,ST,,"0.5, 0.6",1.1,1.27
GE,140,ST,Veo,"0.2, 0.6",1.2,1.08
GE,140,ST,BW,"0.5, 0.6",1.1,1.21
GE,140,ST,DE,"0.5, 0.6",1.8,1.33
GE,140,B,,"0.5, 0.6",0.81,1.32
GE,140,B,BW,"0.5, 0.6",0.82,1.3
GE,140,B,DE,"0.5, 0.6",1.8,1.33
GE,,B,BMD,"0.5, 0.6",1.9,-0.532
GE,,ST,BMD,"0.5, 0.6",1.9,-0.528
Siemens,70,ST,,"0.4, 0.5",0.37,1.83
Siemens,70,B,,"0.4, 0.5",0.57,1.25
Siemens,70,B,LR,"0.4, 1",0.59,1.24
Siemens,80,ST,,"0.4, 0.5",0.42,1.82
Siemens,80,B,,"0.4, 0.5",0.63,1.27
Siemens,90,ST,,"0.4, 0.5",0.48,1.8
Siemens,90,B,,"0.4, 0.5",0.68,1.28
Siemens,90,B,LR,"0.4, 1",0.7,1.27
Siemens,100,ST,,"0.4, 0.5",0.53,1.79
Siemens,100,B,,"0.4, 0.5",0.73,1.28
Siemens,100,B,LR,"0.4, 1",0.74,1.28
Siemens,110,ST,,"0.4, 0.5",0.57,1.78
Siemens,110,B,,"0.4, 0.5",0.77,1.28
Siemens,110,B,LR,"0.4, 1",0.8,1.27
Siemens,120,ST,,"0.4, 0.5",0.58,1.81
Siemens,120,ST,Ub36,"0.5, 0.4",0.76,1.55
Siemens,120,ST,Ub44,"0.5, 0.4",0.86,1.32
Siemens,120,ST,Ub49,"0.5, 0.4",0.86,1.22
Siemens,120,ST,Ub59,"0.5, 0.4",0.56,1.58
Siemens,120,B,,"0.4, 0.5",0.81,1.27
Siemens,120,B,Ur77,"0.5, 0.4",0.86,1.27
Siemens,120,B,Ur81,"0.5, 0.4",0.87,1.26
Siemens,120,B,Ur85,"0.5, 0.4",0.88,1.27
Siemens,120,B,Ur89,"0.5, 0.4",0.89,1.27
Siemens,120,B,LR,"0.4, 1",0.83,1.28
Siemens,130,B,,"0.4, 0.5",0.84,1.28
Siemens,130,B,LR,"0.4, 1",0.85,1.3
Siemens,140,ST,,"0.4, 0.5",0.65,1.78
Siemens,140,ST,Ub36,"0.5, 0.4",0.8,1.58
Siemens,140,ST,Ub44,"0.5, 0.4",0.95,1.3
Siemens,140,ST,Ub49,"0.5, 0.4",0.89,1.28
Siemens,140,ST,Ub59,"0.5, 0.4",0.6,1.59
Siemens,140,B,,"0.4, 0.5",0.87,1.3
Siemens,140,B,Ur77,"0.5, 0.4",0.94,1.26
Siemens,140,B,Ur81,"0.5, 0.4",0.95,1.26
Siemens,140,B,Ur85,"0.5, 0.4",0.96,1.26
Siemens,140,B,Ur89,"0.5, 0.4",0.97,1.27
Siemens,140,B,LR,"0.4, 1",0.88,1.3
Siemens,150,ST,,"0.4, 0.5",0.66,1.79
Siemens,150,ST,Tin,"0.4, 0.5",0.87,1.76
Siemens,150,B,,"0.4, 0.5",0.88,1.32
Siemens,150,B,Tin,"0.4, 0.5",1,1.41
Siemens,150,B,"Tin,LR","0.4, 1",1,1.42
Siemens,150,B,LR,"0.4, 1",0.9,1.32
